2025-09-16 11:04:11 | INFO     | main | export_to_gcs:58 | Exported 50000 documents
2025-09-16 11:04:11 | INFO     | main | export_to_gcs:58 | Exported 51000 documents
2025-09-16 11:04:11 | INFO     | main | export_to_gcs:58 | Exported 52000 documents
2025-09-16 11:04:11 | INFO     | main | export_to_gcs:58 | Exported 53000 documents
2025-09-16 11:04:11 | INFO     | main | export_to_gcs:58 | Exported 54000 documents
2025-09-16 11:04:11 | INFO     | main | export_to_gcs:58 | Exported 55000 documents
2025-09-16 11:04:11 | INFO     | main | export_to_gcs:58 | Exported 56000 documents
2025-09-16 11:04:11 | INFO     | main | export_to_gcs:58 | Exported 57000 documents
2025-09-16 11:04:11 | INFO     | main | export_to_gcs:58 | Exported 58000 documents
2025-09-16 11:04:11 | INFO     | main | export_to_gcs:58 | Exported 59000 documents
2025-09-16 11:04:11 | INFO     | main | export_to_gcs:58 | Exported 60000 documents
2025-09-16 11:04:11 | INFO     | main | export_to_gcs:58 | Exported 61000 documents
2025-09-16 11:04:11 | INFO     | main | export_to_gcs:58 | Exported 62000 documents
2025-09-16 11:04:11 | INFO     | main | export_to_gcs:58 | Exported 63000 documents
2025-09-16 11:04:11 | INFO     | main | export_to_gcs:58 | Exported 64000 documents
2025-09-16 11:04:11 | INFO     | main | export_to_gcs:58 | Exported 65000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 66000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 67000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 68000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 69000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 70000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 71000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 72000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 73000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 74000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 75000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 76000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 77000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 78000 documents
2025-09-16 11:04:12 | INFO     | main | export_to_gcs:58 | Exported 79000 documents
